address,mls_number,status,original_price,property_type,commercial_rent,floors,total_sq_ft,bachelor,one_br,two_br,three_br,four_br,unknown,residential_rent,property_taxes,down_payment_pct,interest_rate,term_years,hold_years,expense_ratio,lease_type
"24-26 Main St S, Alexandria",X11904375,inactive,700000,,,2,5000,0,3,0,1,0,0,,6208,,,,,,
"77 Brae St, Almonte",X12109848,inactive,1080000,,,1,1395,0,2,1,0,,0,,4705,,,,,,
"27 Bridge St, Almonte",X12329676,inactive,790000,,,1,1699,0,0,0,0,,0,,3900,,,,,,
"4 Elgin St W, Arnprior",X12553398,active,850000,,,2,3334,0,0,0,0,0,1,,7974,,,,,,
"26 Elgin St W, Arnprior",X12794002,active,1300000,,,1.5,6000,0,0,0,0,0,1,,8596,,,,,,
"14 Elgin St W, Arnprior",X12124084,inactive,800000,,,1,1500,0,0,0,1,,0,,4030,,,,,,
"26 Elgin St W, Arnprior",X12241232,inactive,1400000,,,2,6000,0,1,0,0,,0,,8311,,,,,,
"75 John St N, Arnprior",X12489140,inactive,600000,,,1,3564,0,0,0,0,0,0,,9046,,,,,,
"123 John St N, Arnprior",X12062654,inactive,980000,,,2,3000,0,0,0,0,,2,,8800,,,,,,
"129 John St N, Arnprior",X12108844,active,1000000,,,1,4400,0,0,0,0,,0,,12643,,,,,,
"50 Madawaska St, Arnprior",X12294619,inactive,450000,,,2,2400,0,0,1,0,,0,,4083,,,,,,
"52 Madawaska St, Arnprior",X11978031,inactive,435000,,,2,1000,0,1,1,0,,0,,2237,,,,,,
"9 Main St E, Athens",X12167402,inactive,300000,,,2,4000,0,0,2,0,,0,,4000,,,,,,
"2 Bridge St W, Bancroft",X12377178,inactive,1600000,,,2,11000,0,0,0,0,0,3,,18662,,,,,,
"34 Hastings St N, Bancroft",X12434911,active,415000,,,2,3100,0,0,1,0,0,0,,3146,,,,,,
"105 Hastings St N, Bancroft",X12086204,active,575000,,,2,6577,0,1,0,1,0,0,,2854,,,,,,
"1765 Beachburg Road, Beachburg",X12333484,active,400000,,,1,1763,0,0,0,0,,0,,5443,,,,,,
"45 Bridge St E, Belleville",X12170443,inactive,2700000,,,3,24000,0,0,0,0,,0,,1,,,,,,
"228 Dundas St E, Belleville",X12252701,active,18500000,,,3,42000,0,0,0,0,,66,,21847,,,,,,
"180 Front St, Belleville",X12089857,inactive,1490000,,,1,6000,0,0,0,0,,0,,17462,,,,,,
"232 Front St, Belleville",X12571090,active,2000000,,,3,21000,0,0,0,0,0,0,,19247,,,,,,
"233 Front St, Belleville",X11989301,inactive,1400000,,,1,6144,0,0,0,0,,0,,5450,,,,,,
"249-253 Front St, Belleville",X9391504,active,3250000,,,3,12722,8,2,1,0,,0,,20400,,,,,,
"269 Front St, Belleville",X12422368,inactive,750000,,,3,2615,0,0,0,0,0,1,,7162,,,,,,
"286 Front St, Belleville",X12171525,inactive,620000,,,1,3000,0,0,0,0,,0,,8285,,,,,,
